No,Type,Mentions,Majas,Date,Link,Media,Sentiment,Category Group,Category,
1,th-comment,di youtube nya mntan reporter tvri (rahma sarita) bilang : teddy ni dulu ajudannya jokowi dr 2014 -2019. dan emng diberikan jkwi ke prabowo mulai prbwo mnjdbat menhan. jd ada dugaan ni emang kerjaan si mulyono jg ni dibalik ini smua.,SINISME,2026-05-27 23:29:20,https://www.threads.com/@temananak.com_ig/post/DY2U2ZQCSNd,Threads,Negative,-,-,
2,th-comment,"Sapi yang disembelih di hari raya qurban yang jumlahnya 1000 lebih dari prabroro itu tdk bisa disebut hewan qurban tapi hewan sodakoh karena memakai uang rakya, sebab hewan Qurban itu harus jelas siapa yang berqurban dan untuk siapa dan diucapkan ketika m",SINISME,2026-05-27 23:04:54,https://www.threads.com/@bambanglaksno/post/DY2SDevj2Mp,Threads,Negative,-,-,
3,th-comment,"Pantesan, berita mbg, korup, pertamina, sawit, ihsg anjlok, rupiah hancur, dsb prabowo gk thu ternyata berhenti di teddy",SINISME,2026-05-27 22:37:47,https://www.threads.com/@billysabatian/post/DY2O83kiX29,Threads,Negative,Asta Cita,Asta Cita 7,
4,th-comment,"tedy membuat prabowo budeg tidak pk dan selalu berpandangan searah gimana dia aja tidak melihat kejadian kejadian dinlapangan mengenai projeknya,,,yg nyampe ketelinga prabowo tidak real hanya yg bagusnya saja yg enak didengar,ini kelakuan seskab tedy yg s",SARKASME ,2026-05-27 21:21:49,https://www.threads.com/@nugrahattrader/post/DY2GQc-k7-w,Threads,Negative,-,-,
5,th-comment,Kalau begitu si prabowo termasuk Korupsi,SINISME ,2026-05-27 18:57:52,https://www.threads.com/@stefano30541/post/DY11yJiFObt,Threads,Negative,-,-,
6,th-comment,"wowo ga mungkin ngangkat mentri yang ga bisa distir,pilihan nya cuman 2,ngikuti kehendak wowo,ago dipecat. orang yang ga bisa distir ga bakalan dipake. jadi kalo wowo ngangkat seseorang jadi mentri,jangan terlalu berharap banyak. sesimple itu.",SINISME ,2026-05-27 16:29:17,https://www.threads.com/@fauzanramdani11/post/DY1kx1xAVJh,Threads,Negative,-,-,
7,photo,Menteri Keuangan Purbaya Yudhi Sadewa tidak mengetahui penggunaan APBN untuk kepentingan kurban sapi Idul Adha 1447 H yang ditunaikan Presiden Prabowo Subianto. Adapun anggaran yang dikeluarkan mencapai Rp100 miliar untuk pengadaan 1.098 ekor sapi kurban.,HIPERBOLA,2026-05-27 16:08:02,https://www.threads.com/@indonesian.core/post/DY1iWMWEjKU,Threads,Negative,-,-,
8,video,"SELAMAT HARI RAYA IDUL ADHA 1447HÃ°ÂŸÂ™Â Idul adha kali ini bukan cuma sapi aja di korbankan, APBN, jutaan rakyat dan rupiah ikut jadi korban. #prabowo #rupiah #indonesia",IRONI,2026-05-27 9:06:11,https://www.threads.com/@bangbuddy10/post/DY0yEU4iQ2_,Threads,Negative,-,-,
9,th-comment,"Gue gak bilang niat Prabowo salah. Gue gak bilang ojol gak penting. Tapi tugas negara bukan beli saham perusahaan swasta buat ngatur kebijakannya dari dalam. Tugas negara: bikin regulasi yg adil, dan investasi ke infrastruktur yg swasta gak akan pernah",IRONI,2026-05-27 8:42:28,https://www.threads.com/@yusufshid/post/DY0vWSREeVk,Threads,Negative,Asta Cita,Asta Cita 3,
10,th-comment,Konteksnya dulu. Prabowo di Hari Buruh kemarin janji: Danantara akan investasi ke aplikasi ojol utk menekan potongan aplikator dari 20% ke satu digit. Niatnya mulia. Gue akui itu. Tapi ada masalah besar di cara eksekusinya.,SINISME,2026-05-27 8:41:17,https://www.threads.com/@yusufshid/post/DY0vNrzkcli,Threads,Negative,-,-,
